asset_id,plant_id,asset_type,vendor,model,firmware,ip_address,zone,protocol,registered_state,observed_state,criticality,owner,backup_age_days
OT-01247,PLT-12,OPC_SERVER,ControlWorks,MDL-95,4.2.9,10.12.15.87,L3_SITE_OPS,VendorSerial,ACTIVE,ONLINE,HIGH,Vendor,391
OT-00150,PLT-02,SENSOR,ProcessSys,MDL-32,9.2.4,10.2.9.172,DMZ,VendorSerial,UNKNOWN,ONLINE,LOW,OT Security,332
OT-01527,PLT-14,HMI,ControlWorks,MDL-53,8.1.9,10.14.13.52,L0_FIELD,ModbusTCP,ACTIVE,ONLINE,HIGH,Unknown,110
OT-00073,PLT-01,PLC,ProcessSys,MDL-44,9.3.2,10.1.13.212,DMZ,PROFINET,ACTIVE,ONLINE,LOW,Engineering,385
OT-01237,PLT-12,NETWORK_SWITCH,MotorDriveCo,MDL-15,4.0.5,10.12.19.56,L3_SITE_OPS,PROFIBUS,ACTIVE,ONLINE,HIGH,Operations,194
OT-00509,PLT-05,NETWORK_SWITCH,SensorTech,MDL-54,8.1.7,10.5.7.47,L0_FIELD,ModbusTCP,ACTIVE,ONLINE,HIGH,Engineering,59
OT-00259,PLT-03,IED,ControlWorks,MDL-73,3.2.0,10.3.13.176,L2_SUPERVISORY,PROFIBUS,ACTIVE,ONLINE,HIGH,Vendor,415
OT-00787,PLT-08,DCS_CONTROLLER,FieldLink,MDL-73,2.7.5,10.8.14.78,L2_SUPERVISORY,OPC_DA,ACTIVE,ONLINE,MEDIUM,Engineering,82
OT-01816,PLT-17,GATEWAY,SafeLogic,MDL-22,8.1.5,10.17.4.217,DMZ,DNP3,ACTIVE,ONLINE,HIGH,Maintenance,198
OT-00156,PLT-02,HISTORIAN,RemoteAssist,MDL-15,9.8.4,10.2.7.42,L3_SITE_OPS,EtherNetIP,RETIRED,ONLINE,CRITICAL,OT Security,156
OT-00574,PLT-06,ENG_WORKSTATION,FieldLink,MDL-71,5.7.2,10.6.1.79,L3_SITE_OPS,ModbusTCP,ACTIVE,ONLINE,MEDIUM,Unknown,156
OT-00075,PLT-01,SAFETY_PLC,ProcessSys,MDL-98,1.4.1,10.1.10.197,L3_SITE_OPS,IEC104,ACTIVE,OFFLINE,HIGH,Maintenance,224
OT-00320,PLT-03,HMI,SensorTech,MDL-42,6.5.7,10.3.4.178,L0_FIELD,IEC61850,ACTIVE,ONLINE,HIGH,Maintenance,360
OT-01981,PLT-18,VFD,SensorTech,MDL-54,3.8.6,10.18.3.184,L0_FIELD,EtherNetIP,ACTIVE,ONLINE,CRITICAL,Maintenance,330
OT-00804,PLT-08,VFD,RemoteAssist,MDL-67,9.2.7,10.8.15.191,L1_CONTROL,PROFIBUS,ACTIVE,INTERMITTENT,HIGH,Vendor,284
OT-01910,PLT-18,DCS_CONTROLLER,ProcessSys,MDL-47,8.2.6,10.18.2.226,L3_SITE_OPS,OPC_DA,UNKNOWN,ONLINE,LOW,Maintenance,103
OT-00852,PLT-08,SAFETY_PLC,LegacyPLC,MDL-19,3.3.9,10.8.20.138,L3_SITE_OPS,PROFINET,UNKNOWN,ONLINE,MEDIUM,Engineering,372
OT-00812,PLT-08,NETWORK_SWITCH,SensorTech,MDL-60,7.5.2,10.8.11.89,L1_CONTROL,PROFIBUS,ACTIVE,ONLINE,CRITICAL,Unknown,253
OT-01492,PLT-14,VFD,HistorianX,MDL-88,7.5.0,10.14.1.70,DMZ,IEC104,ACTIVE,ONLINE,HIGH,Unknown,39
OT-01670,PLT-16,GATEWAY,NetSwitchCo,MDL-15,8.6.9,10.16.9.132,L1_CONTROL,ModbusTCP,ACTIVE,ONLINE,CRITICAL,Unknown,271
OT-01765,PLT-16,RTU,ControlWorks,MDL-59,1.0.7,10.16.10.195,L1_CONTROL,DNP3,ACTIVE,ONLINE,MEDIUM,Vendor,378
OT-00825,PLT-08,DCS_CONTROLLER,ControlWorks,MDL-16,7.8.0,10.8.8.218,L0_FIELD,PROFIBUS,ACTIVE,ONLINE,MEDIUM,OT Security,304
OT-01810,PLT-17,SAFETY_PLC,MotorDriveCo,MDL-63,6.7.2,10.17.15.38,L2_SUPERVISORY,IEC104,ACTIVE,ONLINE,MEDIUM,Vendor,86
OT-01423,PLT-13,ENG_WORKSTATION,ControlWorks,MDL-18,4.7.1,10.13.11.236,L0_FIELD,EtherNetIP,ACTIVE,OFFLINE,HIGH,Engineering,177
OT-00219,PLT-03,HISTORIAN,NetSwitchCo,MDL-47,2.5.8,10.3.19.191,L3_SITE_OPS,IEC61850,ACTIVE,ONLINE,CRITICAL,OT Security,201
OT-00322,PLT-04,PLC,SafeLogic,MDL-54,5.5.2,10.4.9.207,L0_FIELD,OPC_DA,ACTIVE,ONLINE,MEDIUM,Unknown,333
OT-00305,PLT-03,HMI,LegacyPLC,MDL-85,1.2.8,10.3.6.84,L0_FIELD,PROFINET,ACTIVE,ONLINE,HIGH,Unknown,417
OT-00655,PLT-07,IED,ControlWorks,MDL-27,7.9.6,10.7.1.104,L1_CONTROL,EtherNetIP,ACTIVE,ONLINE,MEDIUM,Operations,193
OT-00175,PLT-02,GATEWAY,RemoteAssist,MDL-14,1.0.3,10.2.17.61,L0_FIELD,IEC61850,ACTIVE,ONLINE,HIGH,Maintenance,332
OT-01264,PLT-12,IED,FieldLink,MDL-64,3.6.2,10.12.1.104,L2_SUPERVISORY,IEC104,ACTIVE,OFFLINE,LOW,Operations,198
OT-00803,PLT-08,SAFETY_PLC,FieldLink,MDL-48,3.6.4,10.8.11.137,L0_FIELD,IEC61850,ACTIVE,ONLINE,HIGH,Maintenance,243
OT-00332,PLT-04,OPC_SERVER,FieldLink,MDL-16,3.4.1,10.4.18.94,L2_SUPERVISORY,OPC_DA,ACTIVE,ONLINE,HIGH,Engineering,317
OT-00216,PLT-03,RTU,ControlWorks,MDL-19,5.2.7,10.3.2.211,L0_FIELD,PROFINET,ACTIVE,ONLINE,CRITICAL,Unknown,72
OT-01422,PLT-13,SAFETY_PLC,LegacyPLC,MDL-31,6.8.0,10.13.9.3,DMZ,EtherNetIP,ACTIVE,ONLINE,CRITICAL,Engineering,406
OT-01278,PLT-12,IED,FieldLink,MDL-20,3.3.1,10.12.5.19,L2_SUPERVISORY,ModbusTCP,ACTIVE,ONLINE,LOW,Maintenance,80
OT-00998,PLT-10,HMI,HistorianX,MDL-47,4.4.5,10.10.10.43,L3_SITE_OPS,IEC61850,ACTIVE,UNSEEN,HIGH,Operations,233
OT-01620,PLT-15,RTU,SensorTech,MDL-41,9.2.5,10.15.19.83,L0_FIELD,EtherNetIP,ACTIVE,ONLINE,CRITICAL,OT Security,69
OT-00776,PLT-08,SAFETY_PLC,SafeLogic,MDL-28,6.9.2,10.8.10.10,L2_SUPERVISORY,OPC_UA,ACTIVE,ONLINE,CRITICAL,OT Security,11
OT-01562,PLT-15,SENSOR,MotorDriveCo,MDL-48,5.8.1,10.15.9.68,DMZ,EtherNetIP,ACTIVE,INTERMITTENT,CRITICAL,OT Security,290
OT-01487,PLT-14,GATEWAY,FieldLink,MDL-59,1.1.9,10.14.20.205,L0_FIELD,IEC61850,ACTIVE,ONLINE,CRITICAL,Engineering,334
OT-00159,PLT-02,SAFETY_PLC,FieldLink,MDL-30,4.2.9,10.2.20.240,L3_SITE_OPS,OPC_UA,ACTIVE,ONLINE,CRITICAL,Maintenance,89
OT-00153,PLT-02,SENSOR,FieldLink,MDL-97,4.0.5,10.2.13.180,L3_SITE_OPS,IEC104,ACTIVE,ONLINE,HIGH,Engineering,284
OT-00326,PLT-04,RTU,ControlWorks,MDL-71,6.9.2,10.4.12.188,DMZ,PROFINET,ACTIVE,ONLINE,HIGH,OT Security,123
OT-01984,PLT-18,GATEWAY,MotorDriveCo,MDL-56,6.5.3,10.18.3.105,DMZ,PROFINET,ACTIVE,ONLINE,MEDIUM,Unknown,14
OT-01043,PLT-10,GATEWAY,LegacyPLC,MDL-16,6.5.1,10.10.19.60,DMZ,VendorSerial,RETIRED,ONLINE,CRITICAL,Operations,39
OT-01447,PLT-14,DCS_CONTROLLER,HistorianX,MDL-56,6.7.1,10.14.2.180,L1_CONTROL,EtherNetIP,ACTIVE,ONLINE,MEDIUM,Maintenance,215
OT-01373,PLT-13,VFD,MotorDriveCo,MDL-28,5.8.2,10.13.19.212,L1_CONTROL,IEC61850,ACTIVE,ONLINE,HIGH,Engineering,235
OT-01067,PLT-10,ENG_WORKSTATION,ControlWorks,MDL-64,3.6.9,10.10.3.92,L3_SITE_OPS,PROFIBUS,ACTIVE,ONLINE,HIGH,Operations,362
OT-00733,PLT-07,RTU,HistorianX,MDL-29,3.4.7,10.7.7.145,L2_SUPERVISORY,IEC61850,ACTIVE,UNSEEN,HIGH,Maintenance,404
OT-00142,PLT-02,SAFETY_PLC,RemoteAssist,MDL-21,5.9.9,10.2.20.210,L0_FIELD,ModbusTCP,RETIRED,UNSEEN,CRITICAL,Operations,395
OT-01357,PLT-13,HISTORIAN,ControlWorks,MDL-12,7.8.6,10.13.8.237,L0_FIELD,OPC_DA,ACTIVE,ONLINE,HIGH,Engineering,68
OT-00510,PLT-05,SENSOR,RemoteAssist,MDL-10,7.1.8,10.5.10.7,L2_SUPERVISORY,OPC_UA,ACTIVE,ONLINE,CRITICAL,Operations,34
OT-00682,PLT-07,ENG_WORKSTATION,ControlWorks,MDL-88,1.8.7,10.7.11.91,L2_SUPERVISORY,DNP3,ACTIVE,ONLINE,HIGH,OT Security,143
OT-00482,PLT-05,HISTORIAN,HistorianX,MDL-25,5.0.4,10.5.14.3,L3_SITE_OPS,DNP3,ACTIVE,UNSEEN,MEDIUM,Maintenance,62
OT-01919,PLT-18,DCS_CONTROLLER,SensorTech,MDL-87,3.7.6,10.18.6.18,L0_FIELD,ModbusTCP,ACTIVE,ONLINE,MEDIUM,Engineering,112
OT-01986,PLT-18,IED,SafeLogic,MDL-69,4.6.7,10.18.17.86,DMZ,PROFINET,ACTIVE,ONLINE,LOW,Engineering,50
OT-01262,PLT-12,RTU,NetSwitchCo,MDL-52,1.2.3,10.12.12.88,DMZ,ModbusTCP,ACTIVE,ONLINE,LOW,OT Security,292
OT-01644,PLT-15,VFD,ControlWorks,MDL-68,7.0.8,10.15.4.117,L2_SUPERVISORY,PROFINET,ACTIVE,ONLINE,HIGH,Maintenance,198
OT-00413,PLT-04,ENG_WORKSTATION,SensorTech,MDL-40,5.0.0,10.4.14.90,L1_CONTROL,EtherNetIP,ACTIVE,ONLINE,LOW,Maintenance,38
OT-00314,PLT-03,SENSOR,RemoteAssist,MDL-88,9.9.7,10.3.16.53,L2_SUPERVISORY,PROFINET,ACTIVE,ONLINE,HIGH,Vendor,399
OT-01415,PLT-13,SAFETY_PLC,RemoteAssist,MDL-22,9.0.2,10.13.15.178,DMZ,DNP3,ACTIVE,ONLINE,HIGH,Vendor,246
OT-01369,PLT-13,PLC,LegacyPLC,MDL-69,1.5.0,10.13.13.137,L3_SITE_OPS,IEC61850,ACTIVE,UNSEEN,CRITICAL,Unknown,291
OT-01693,PLT-16,HISTORIAN,NetSwitchCo,MDL-45,8.5.3,10.16.12.225,L2_SUPERVISORY,PROFIBUS,ACTIVE,ONLINE,HIGH,Operations,407
OT-00147,PLT-02,DCS_CONTROLLER,LegacyPLC,MDL-96,6.3.4,10.2.12.5,L3_SITE_OPS,IEC104,ACTIVE,ONLINE,CRITICAL,Maintenance,385
OT-00884,PLT-09,HMI,SafeLogic,MDL-91,2.6.0,10.9.2.206,L3_SITE_OPS,IEC104,ACTIVE,ONLINE,HIGH,Maintenance,35
OT-01874,PLT-17,OPC_SERVER,LegacyPLC,MDL-56,7.6.8,10.17.2.162,L1_CONTROL,ModbusTCP,ACTIVE,OFFLINE,CRITICAL,Engineering,362
OT-00432,PLT-04,ENG_WORKSTATION,MotorDriveCo,MDL-53,4.8.8,10.4.6.47,L0_FIELD,ModbusTCP,ACTIVE,ONLINE,CRITICAL,Engineering,283
OT-01802,PLT-17,ENG_WORKSTATION,RemoteAssist,MDL-38,7.6.3,10.17.17.69,L3_SITE_OPS,PROFIBUS,ACTIVE,ONLINE,MEDIUM,Operations,217
OT-00007,PLT-01,DCS_CONTROLLER,FieldLink,MDL-93,7.7.6,10.1.17.65,L1_CONTROL,DNP3,ACTIVE,ONLINE,HIGH,OT Security,27
OT-01983,PLT-18,HMI,MotorDriveCo,MDL-86,4.3.4,10.18.8.200,L1_CONTROL,IEC104,ACTIVE,ONLINE,MEDIUM,Maintenance,358
OT-01007,PLT-10,OPC_SERVER,MotorDriveCo,MDL-76,2.0.1,10.10.10.76,L3_SITE_OPS,IEC104,ACTIVE,ONLINE,HIGH,OT Security,109
OT-01903,PLT-18,HISTORIAN,HistorianX,MDL-39,7.6.6,10.18.16.204,L2_SUPERVISORY,VendorSerial,ACTIVE,ONLINE,HIGH,Vendor,111
OT-00632,PLT-06,HISTORIAN,RemoteAssist,MDL-13,5.4.3,10.6.17.129,L2_SUPERVISORY,IEC61850,ACTIVE,ONLINE,HIGH,Unknown,324
OT-00722,PLT-07,RTU,MotorDriveCo,MDL-21,7.0.7,10.7.15.112,L3_SITE_OPS,PROFIBUS,ACTIVE,ONLINE,HIGH,Operations,230
OT-00066,PLT-01,SAFETY_PLC,NetSwitchCo,MDL-24,4.7.7,10.1.17.189,DMZ,ModbusTCP,ACTIVE,ONLINE,LOW,OT Security,222
OT-01349,PLT-13,VFD,HistorianX,MDL-18,6.2.6,10.13.12.248,L3_SITE_OPS,VendorSerial,ACTIVE,ONLINE,CRITICAL,OT Security,171
OT-00107,PLT-02,ENG_WORKSTATION,SafeLogic,MDL-21,3.9.8,10.2.4.56,L3_SITE_OPS,ModbusTCP,ACTIVE,ONLINE,LOW,Vendor,259
OT-01205,PLT-11,IED,MotorDriveCo,MDL-26,7.8.0,10.11.18.161,L1_CONTROL,EtherNetIP,RETIRED,ONLINE,MEDIUM,Operations,166
OT-01833,PLT-17,VFD,NetSwitchCo,MDL-58,3.4.4,10.17.1.115,L1_CONTROL,ModbusTCP,ACTIVE,ONLINE,HIGH,OT Security,219
OT-01991,PLT-18,HMI,MotorDriveCo,MDL-82,2.2.9,10.18.20.50,L3_SITE_OPS,OPC_UA,UNKNOWN,ONLINE,LOW,Vendor,218
OT-00746,PLT-07,DCS_CONTROLLER,ControlWorks,MDL-43,5.2.3,10.7.12.21,DMZ,OPC_UA,ACTIVE,ONLINE,HIGH,Unknown,99
OT-00127,PLT-02,IED,HistorianX,MDL-75,3.1.8,10.2.9.150,DMZ,OPC_UA,ACTIVE,ONLINE,CRITICAL,Operations,341
OT-00633,PLT-06,NETWORK_SWITCH,ProcessSys,MDL-18,6.3.7,10.6.9.15,L2_SUPERVISORY,OPC_UA,ACTIVE,ONLINE,CRITICAL,Maintenance,139
OT-01953,PLT-18,SAFETY_PLC,RemoteAssist,MDL-37,2.6.0,10.18.11.228,DMZ,IEC104,RETIRED,ONLINE,LOW,OT Security,30
OT-01097,PLT-10,OPC_SERVER,SafeLogic,MDL-28,2.1.6,10.10.16.180,L3_SITE_OPS,IEC104,ACTIVE,ONLINE,MEDIUM,Vendor,20
OT-00122,PLT-02,HISTORIAN,NetSwitchCo,MDL-52,8.7.8,10.2.19.6,L0_FIELD,ModbusTCP,ACTIVE,ONLINE,HIGH,Vendor,157
OT-00062,PLT-01,SAFETY_PLC,NetSwitchCo,MDL-71,1.0.5,10.1.18.70,L1_CONTROL,OPC_UA,ACTIVE,ONLINE,CRITICAL,Engineering,50
OT-01383,PLT-13,GATEWAY,NetSwitchCo,MDL-93,2.0.4,10.13.8.240,L3_SITE_OPS,EtherNetIP,ACTIVE,OFFLINE,HIGH,OT Security,105
OT-01827,PLT-17,DCS_CONTROLLER,MotorDriveCo,MDL-62,1.9.7,10.17.16.177,L3_SITE_OPS,PROFINET,RETIRED,ONLINE,MEDIUM,Unknown,370
OT-01561,PLT-15,SAFETY_PLC,ProcessSys,MDL-79,6.2.6,10.15.6.119,L2_SUPERVISORY,OPC_UA,RETIRED,ONLINE,MEDIUM,OT Security,11
OT-01838,PLT-17,PLC,SensorTech,MDL-13,4.0.6,10.17.14.90,L2_SUPERVISORY,PROFIBUS,ACTIVE,ONLINE,CRITICAL,OT Security,397
OT-01196,PLT-11,DCS_CONTROLLER,SafeLogic,MDL-46,3.9.3,10.11.15.28,DMZ,ModbusTCP,ACTIVE,ONLINE,CRITICAL,Vendor,364
OT-00626,PLT-06,SENSOR,SensorTech,MDL-68,6.5.4,10.6.14.45,L0_FIELD,IEC61850,ACTIVE,ONLINE,CRITICAL,OT Security,335
OT-01171,PLT-11,PLC,SensorTech,MDL-35,6.3.6,10.11.7.17,DMZ,VendorSerial,ACTIVE,ONLINE,CRITICAL,Engineering,234
OT-01882,PLT-17,SAFETY_PLC,RemoteAssist,MDL-42,5.2.4,10.17.12.75,L1_CONTROL,VendorSerial,RETIRED,ONLINE,LOW,OT Security,174
OT-01726,PLT-16,PLC,FieldLink,MDL-25,3.7.3,10.16.19.73,L3_SITE_OPS,PROFIBUS,ACTIVE,ONLINE,MEDIUM,Unknown,400
OT-01182,PLT-11,ENG_WORKSTATION,NetSwitchCo,MDL-85,8.2.1,10.11.6.108,L1_CONTROL,EtherNetIP,ACTIVE,ONLINE,MEDIUM,Engineering,296
OT-01601,PLT-15,SAFETY_PLC,SafeLogic,MDL-50,9.3.7,10.15.20.185,DMZ,PROFIBUS,ACTIVE,ONLINE,LOW,Maintenance,336
OT-00121,PLT-02,ENG_WORKSTATION,RemoteAssist,MDL-19,7.0.1,10.2.13.239,DMZ,VendorSerial,ACTIVE,ONLINE,CRITICAL,Maintenance,372
OT-00493,PLT-05,PLC,RemoteAssist,MDL-37,7.7.5,10.5.13.43,L2_SUPERVISORY,OPC_UA,ACTIVE,ONLINE,MEDIUM,Vendor,138
OT-01640,PLT-15,OPC_SERVER,ProcessSys,MDL-52,5.2.6,10.15.7.89,L0_FIELD,OPC_DA,ACTIVE,INTERMITTENT,HIGH,OT Security,66
OT-01545,PLT-14,DCS_CONTROLLER,MotorDriveCo,MDL-82,9.7.9,10.14.12.123,L3_SITE_OPS,DNP3,ACTIVE,ONLINE,HIGH,Engineering,353
OT-00169,PLT-02,NETWORK_SWITCH,SensorTech,MDL-11,2.0.6,10.2.6.172,DMZ,EtherNetIP,RETIRED,ONLINE,HIGH,Vendor,390
OT-00420,PLT-04,OPC_SERVER,MotorDriveCo,MDL-55,3.6.8,10.4.11.163,L0_FIELD,OPC_UA,ACTIVE,ONLINE,CRITICAL,Vendor,262
OT-00837,PLT-08,GATEWAY,ControlWorks,MDL-85,5.6.3,10.8.5.79,L0_FIELD,VendorSerial,ACTIVE,ONLINE,CRITICAL,Engineering,197
OT-00587,PLT-06,IED,FieldLink,MDL-78,7.2.8,10.6.2.139,L0_FIELD,IEC61850,ACTIVE,ONLINE,HIGH,Operations,345
OT-00560,PLT-06,OPC_SERVER,MotorDriveCo,MDL-71,9.7.9,10.6.15.26,L2_SUPERVISORY,IEC104,ACTIVE,ONLINE,MEDIUM,Vendor,77
OT-01814,PLT-17,SAFETY_PLC,RemoteAssist,MDL-75,9.7.1,10.17.12.93,L0_FIELD,PROFINET,ACTIVE,ONLINE,MEDIUM,Unknown,244
OT-01467,PLT-14,DCS_CONTROLLER,HistorianX,MDL-46,8.6.2,10.14.11.103,L2_SUPERVISORY,PROFINET,ACTIVE,ONLINE,CRITICAL,Maintenance,298
OT-00239,PLT-03,OPC_SERVER,ProcessSys,MDL-51,8.3.2,10.3.5.71,L2_SUPERVISORY,DNP3,ACTIVE,ONLINE,CRITICAL,Unknown,143
OT-01878,PLT-17,DCS_CONTROLLER,LegacyPLC,MDL-36,9.0.0,10.17.1.139,DMZ,PROFINET,ACTIVE,ONLINE,LOW,Vendor,309
OT-00691,PLT-07,GATEWAY,SafeLogic,MDL-35,6.0.0,10.7.16.181,L3_SITE_OPS,OPC_UA,ACTIVE,ONLINE,HIGH,Vendor,401
OT-00902,PLT-09,PLC,SafeLogic,MDL-13,6.5.2,10.9.13.38,L3_SITE_OPS,EtherNetIP,ACTIVE,ONLINE,CRITICAL,Engineering,202
OT-01674,PLT-16,IED,HistorianX,MDL-61,5.0.5,10.16.7.160,L3_SITE_OPS,PROFIBUS,ACTIVE,ONLINE,MEDIUM,Unknown,181
OT-00469,PLT-05,OPC_SERVER,RemoteAssist,MDL-19,2.9.8,10.5.12.125,L2_SUPERVISORY,DNP3,ACTIVE,ONLINE,MEDIUM,OT Security,44
OT-00774,PLT-08,IED,FieldLink,MDL-91,2.4.3,10.8.5.77,L0_FIELD,DNP3,ACTIVE,UNSEEN,LOW,OT Security,93
OT-00018,PLT-01,NETWORK_SWITCH,LegacyPLC,MDL-43,6.4.4,10.1.15.89,DMZ,IEC104,ACTIVE,ONLINE,CRITICAL,Operations,20
OT-01269,PLT-12,HISTORIAN,FieldLink,MDL-88,1.7.4,10.12.7.154,L0_FIELD,PROFIBUS,ACTIVE,ONLINE,CRITICAL,Operations,266
OT-00459,PLT-05,SAFETY_PLC,NetSwitchCo,MDL-35,8.5.5,10.5.4.10,L0_FIELD,PROFINET,ACTIVE,ONLINE,HIGH,OT Security,148
OT-01032,PLT-10,NETWORK_SWITCH,ControlWorks,MDL-96,6.9.2,10.10.8.17,L2_SUPERVISORY,IEC61850,ACTIVE,ONLINE,CRITICAL,Operations,30
OT-00759,PLT-08,RTU,SensorTech,MDL-26,9.2.0,10.8.14.163,L1_CONTROL,OPC_DA,UNKNOWN,OFFLINE,HIGH,OT Security,154
OT-00536,PLT-06,ENG_WORKSTATION,LegacyPLC,MDL-13,6.0.7,10.6.15.209,L1_CONTROL,PROFINET,ACTIVE,ONLINE,MEDIUM,Operations,136
OT-00704,PLT-07,NETWORK_SWITCH,ControlWorks,MDL-80,5.5.4,10.7.9.65,L0_FIELD,VendorSerial,ACTIVE,ONLINE,CRITICAL,OT Security,274
