capability_id,name,home_om,prompt,artifact,status
C30,ADRs,8,SDD-09 … SDD-14,Preliminary → final ADR register,specced
C31,Software engineering,14,ENH-01…07,"Tests, source, CI, as-built C4",evidenced
C32,AI-assisted / Cursor engineering discipline,13,"SDD-14, ENH",Specs constrain code,specced
C33,AI-system design,10,SDD-11,C4 + model routing + failure modes,specced
C34,Model-selection and substitution,8,"SDD-09, SDD-11, ENH-07",Provider + routing + version pin,specced
C35,Prompt engineering and lifecycle,10,"SDD-11, ENH-07",Prompt design + registry,specced
C36,RAG / grounding engineering,8,"SDD-09, SDD-10, SDD-11",Hybrid retrieval; vector never = policy,specced
C37,Agentic-system engineering,11,"SDD-12, ENH-07",Bounded single agent default,specced
C38,Tool-contract and bounded-agency,11,"SDD-12, ENH-07",Tool catalogue; no isolate-execute,specced
C39,HITL / HOTL design,11,"SDD-12, REL-02",Approval/override/escalation matrix,specced
C40,Deterministic control boundaries,11,"SDD-12, ENH-05",ACTION_TIERS enforced in code,specced
C41,Security-by-Design,12,SDD-13,Threat model + control matrix,specced
C42,AI / agentic security,12,"SDD-13, ENH-08",OWASP LLM + Agentic Top 10,specced
C43,Zero Trust authorization,11,"SDD-12, SDD-13",Permission matrix + trust boundaries,specced
C44,Software and AI supply-chain security,12,SDD-13,SBOM/AIBOM + component register,specced
C45,Privacy-by-Design,4,"SDD-05, SDD-07, SDD-13",Impact + access matrix + controls,specced
C46,Responsible AI,1,"SDD-01, 05, 08, ENH-09",Context → impact → RAI tests,specced
C47,Human-factors and automation-bias,4,"SDD-05, SDD-08, SDD-12",Bias assessment + HITL forcing functions,specced
C48,Governance,1,"SDD-01, 08, REL-01, REL-04",RACI → oversight → AIMS,specced
C49,AI assurance case,7,"SDD-08, ENH-09",Claim–argument–evidence + report,evidenced
C50,Regulatory and standards applicability,1,"SDD-01, 05, 08, REL","42001/42005/EU AI Act **as methods**, not certs",specced
C51,"Legal, contractual, licensing and IP",4,"SDD-05, SDD-13, REL-04",Register + OPEN_DECISION,specced
C52,Evaluation and TEVV,7,"SDD-08, ENH-09",Strategy then harness,evidenced
C53,"Golden, edge, adversarial, failure datasets",7,"SDD-08, ENH-09",golden_cases + injects + cascade,evidenced
C54,AI red teaming,15,"ENH-08, ENH-09","Injection, tool-misuse, loop tests",evidenced
C55,Business-outcome evaluation,3,"SDD-04, SDD-08, REL-03",Criteria → thresholds → realisation,specced
C56,Token efficiency,15,"ENH-09, REL-02",**Named eval metric** (not in PDF text),evidenced
C57,Token economics,18,"REL-02, REL-03",Cost/availability reports,pending
C58,AI FinOps,18,"ENH-10, REL-03",Cost dashboards + cost-to-value,evidenced
C59,TCO,8,"SDD-09, REL-03",Build/buy + cost-to-value,specced
C60,Cost-per-successful-business-outcome,19,"SDD-04, REL-03",KPI from docs/05 + after measurement,specced
C61,Performance and latency engineering,13,"SDD-11, SDD-14",NFRs; evals README latency,specced
C62,Scalability and capacity engineering,13,"SDD-11, SDD-14",NFRs,specced
C63,Reliability and resilience,10,"SDD-11, REL-01, REL-02",Failure-mode + chaos + recovery,specced
C64,Graceful degradation and AI-disabled operation,10,"SDD-11, APP-02, REL-02",Failure-mode + UI fallback,evidenced
C65,Observability,13,"SDD-14, ENH-10",Telemetry spec + dashboards,evidenced
C66,AI / agent observability and traceability,13,"SDD-14, ENH-07, ENH-10",Decision traces; no hidden CoT,evidenced
C67,Service management,16,REL-01,"Runbooks, SOPs, dashboards",pending
C68,SLO / SLA / error-budget engineering,13,"SDD-14, REL-01",**Named SLOs** in NFRs,specced
C69,Incident response,16,REL-01,Incident/rollback plans,pending
C70,AI-specific incident response,16,"REL-01, REL-02",Agent-loop alerts + AI IR runbook,pending
C71,Business continuity and disaster recovery,16,"SDD-03, ENH-06, REL-01",Recovery graph + ops recovery evidence,specced
C72,Change management,16,"REL-01, REL-02",Change + updated SOPs,pending
C73,User adoption and behavioural change,17,REL-02,Adoption dashboard; override logs,pending
C74,Training and enablement,16,REL-01,SOP/training outline,pending
C75,Commercial judgement,8,"SDD-09, SDD-13",Trade-off + supplier,specced
C76,Build-vs-buy-vs-partner analysis,8,SDD-09,Build/buy **+ partner**,specced
C77,Vendor management,8,"SDD-09, SDD-13",Provider + supplier assessment,specced
C78,Third-party risk management,12,SDD-13,Supply-chain + supplier risk,specced
C79,Vendor concentration and exit strategy,12,"SDD-13, REL-04",Exit plan,specced
C80,Operating-model design,1,"SDD-01, REL-01, REL-04",Mandate → ops RACI → AIMS,specced
C81,"Roles, RACI and decision-rights design",1,"SDD-01, SDD-12, REL-01",Governance + HITL + ops RACI,specced
C82,Operational ownership,5,"SDD-06, REL-01",Ownership map + ops RACI,specced
C83,Operational handover,16,REL-01,Handover pack,pending
C84,Knowledge transfer,16,"REL-01, REL-04",SOPs + reusable IP,pending
C85,Production-readiness assessment,16,"ENH-10, REL-01, REL-02",Readiness checklist,evidenced
C86,Deployment and release governance,17,REL-02,Release manifest (workshop),pending
C87,Benefits-realisation measurement,19,REL-03,Benefits report,pending
C88,Post-intervention KPI measurement (After),19,REL-03,After KPIs,pending
C89,Before-vs-after KPI variance analysis,19,REL-03,Variance table,pending
C90,Value leakage analysis,19,REL-03,Unintended effects **named leakage**,pending
C91,Continuous improvement,18,"REL-02, REL-04",Continuous evals + CAPA,pending
C92,Model / system drift management,18,"REL-02, REL-04",Drift reports,pending
C93,Retirement and decommissioning strategy,21,REL-04,Retirement plan,pending
C94,90-day / medium-term transformation roadmap,13,"SDD-14, REL-03",Backlog + 90-day roadmap,specced
C95,Executive communication,19,REL-03,Executive SCQA + C4 exec view,pending
C96,Elevator pitch and final defence,19,REL-03,**60–90s pitch** + 12-min defence,pending
