unit_id,plant_id,unit_type,production_criticality,safe_state,manual_mode_supported
PLT-14-U01,PLT-14,TREATMENT,CRITICAL,RECIRCULATE,LIMITED
PLT-14-U02,PLT-14,COMPRESSOR,CRITICAL,MIN_LOAD,YES
PLT-14-U03,PLT-14,SEPARATION,CRITICAL,STOPPED,LIMITED
PLT-14-U04,PLT-14,TREATMENT,CRITICAL,RECIRCULATE,LIMITED
PLT-14-U05,PLT-14,BOILER,HIGH,STOPPED,YES
PLT-14-U06,PLT-14,TREATMENT,MEDIUM,MIN_LOAD,YES
PLT-14-U07,PLT-14,TURBINE,HIGH,STOPPED,YES
PLT-14-U08,PLT-14,FILLING,HIGH,STOPPED,YES
PLT-14-U09,PLT-14,COMPRESSOR,MEDIUM,RECIRCULATE,YES
PLT-14-U10,PLT-14,TREATMENT,CRITICAL,RECIRCULATE,YES
PLT-14-U11,PLT-14,COMPRESSOR,CRITICAL,MIN_LOAD,LIMITED
PLT-14-U12,PLT-14,BOILER,CRITICAL,RECIRCULATE,YES
PLT-15-U01,PLT-15,BOILER,CRITICAL,STOPPED,YES
PLT-15-U02,PLT-15,PUMP_TRAIN,HIGH,MIN_LOAD,YES
PLT-15-U03,PLT-15,BOILER,CRITICAL,ISOLATED,YES
PLT-15-U04,PLT-15,BOILER,HIGH,STOPPED,YES
PLT-15-U05,PLT-15,FURNACE,HIGH,STOPPED,YES
PLT-15-U06,PLT-15,PUMP_TRAIN,CRITICAL,STOPPED,YES
PLT-15-U07,PLT-15,SEPARATION,HIGH,STOPPED,LIMITED
PLT-15-U08,PLT-15,FURNACE,MEDIUM,MIN_LOAD,LIMITED
PLT-15-U09,PLT-15,BOILER,HIGH,ISOLATED,LIMITED
PLT-15-U10,PLT-15,FILLING,CRITICAL,ISOLATED,NO
PLT-15-U11,PLT-15,REACTOR,CRITICAL,STOPPED,YES
PLT-15-U12,PLT-15,TURBINE,CRITICAL,ISOLATED,YES
PLT-16-U01,PLT-16,REACTOR,CRITICAL,RECIRCULATE,YES
PLT-16-U02,PLT-16,FILLING,HIGH,ISOLATED,LIMITED
PLT-16-U03,PLT-16,PUMP_TRAIN,HIGH,STOPPED,LIMITED
PLT-16-U04,PLT-16,BOILER,HIGH,STOPPED,LIMITED
PLT-16-U05,PLT-16,COMPRESSOR,CRITICAL,STOPPED,NO
PLT-16-U06,PLT-16,TURBINE,CRITICAL,RECIRCULATE,LIMITED
PLT-16-U07,PLT-16,TREATMENT,CRITICAL,RECIRCULATE,LIMITED
PLT-16-U08,PLT-16,COMPRESSOR,CRITICAL,RECIRCULATE,YES
PLT-16-U09,PLT-16,BOILER,CRITICAL,RECIRCULATE,LIMITED
PLT-16-U10,PLT-16,TURBINE,HIGH,MIN_LOAD,NO
PLT-16-U11,PLT-16,PUMP_TRAIN,HIGH,STOPPED,YES
PLT-16-U12,PLT-16,TREATMENT,HIGH,MIN_LOAD,LIMITED
PLT-17-U01,PLT-17,REACTOR,HIGH,RECIRCULATE,YES
PLT-17-U02,PLT-17,SEPARATION,HIGH,RECIRCULATE,YES
PLT-17-U03,PLT-17,FURNACE,HIGH,RECIRCULATE,LIMITED
PLT-17-U04,PLT-17,REACTOR,HIGH,MIN_LOAD,YES
PLT-17-U05,PLT-17,TREATMENT,MEDIUM,STOPPED,YES
PLT-17-U06,PLT-17,COMPRESSOR,CRITICAL,MIN_LOAD,LIMITED
PLT-17-U07,PLT-17,REACTOR,HIGH,STOPPED,YES
PLT-17-U08,PLT-17,REACTOR,HIGH,STOPPED,LIMITED
PLT-17-U09,PLT-17,TURBINE,HIGH,MIN_LOAD,NO
PLT-17-U10,PLT-17,FILLING,HIGH,ISOLATED,YES
PLT-17-U11,PLT-17,COMPRESSOR,CRITICAL,MIN_LOAD,NO
PLT-17-U12,PLT-17,FURNACE,HIGH,RECIRCULATE,LIMITED
PLT-18-U01,PLT-18,FILLING,HIGH,STOPPED,YES
PLT-18-U02,PLT-18,FURNACE,HIGH,MIN_LOAD,YES
PLT-18-U03,PLT-18,TURBINE,CRITICAL,MIN_LOAD,YES
PLT-18-U04,PLT-18,COMPRESSOR,CRITICAL,MIN_LOAD,YES
PLT-18-U05,PLT-18,FILLING,CRITICAL,ISOLATED,YES
PLT-18-U06,PLT-18,TURBINE,HIGH,STOPPED,YES
PLT-18-U07,PLT-18,FILLING,HIGH,RECIRCULATE,YES
PLT-18-U08,PLT-18,COMPRESSOR,HIGH,ISOLATED,YES
PLT-18-U09,PLT-18,TURBINE,HIGH,STOPPED,YES
PLT-18-U10,PLT-18,TURBINE,HIGH,MIN_LOAD,LIMITED
PLT-18-U11,PLT-18,TREATMENT,HIGH,ISOLATED,YES
PLT-18-U12,PLT-18,FILLING,CRITICAL,STOPPED,YES
